lon,lat,stcoFIPS,County,ClimateRegion
-120.34375,35.96875,6019,Fresno,Southern Central Valley
-120.28125,35.96875,6019,Fresno,Southern Central Valley
-120.46875,36.03125,6019,Fresno,Southern Central Valley
-120.40625,36.03125,6019,Fresno,Southern Central Valley
-120.34375,36.03125,6019,Fresno,Southern Central Valley
-120.28125,36.03125,6019,Fresno,Southern Central Valley
-120.21875,36.03125,6019,Fresno,Southern Central Valley
-120.15625,36.03125,6019,Fresno,Southern Central Valley
-120.59375,36.09375,6019,Fresno,Southern Central Valley
-120.53125,36.09375,6019,Fresno,Southern Central Valley
-120.46875,36.09375,6019,Fresno,Southern Central Valley
-120.40625,36.09375,6019,Fresno,Southern Central Valley
-120.34375,36.09375,6019,Fresno,Southern Central Valley
-120.28125,36.09375,6019,Fresno,Southern Central Valley
-120.21875,36.09375,6019,Fresno,Southern Central Valley
-120.15625,36.09375,6019,Fresno,Southern Central Valley
-120.09375,36.09375,6019,Fresno,Southern Central Valley
-120.65625,36.15625,6019,Fresno,Southern Central Valley
-120.59375,36.15625,6019,Fresno,Southern Central Valley
-120.53125,36.15625,6019,Fresno,Southern Central Valley
-120.46875,36.15625,6019,Fresno,Southern Central Valley
-120.40625,36.15625,6019,Fresno,Southern Central Valley
-120.34375,36.15625,6019,Fresno,Southern Central Valley
-120.28125,36.15625,6019,Fresno,Southern Central Valley
-120.21875,36.15625,6019,Fresno,Southern Central Valley
-120.15625,36.15625,6019,Fresno,Southern Central Valley
-120.09375,36.15625,6019,Fresno,Southern Central Valley
-120.03125,36.15625,6019,Fresno,Southern Central Valley
-120.59375,36.21875,6019,Fresno,Southern Central Valley
-120.53125,36.21875,6019,Fresno,Southern Central Valley
-120.46875,36.21875,6019,Fresno,Southern Central Valley
-120.40625,36.21875,6019,Fresno,Southern Central Valley
-120.34375,36.21875,6019,Fresno,Southern Central Valley
-120.28125,36.21875,6019,Fresno,Southern Central Valley
-120.21875,36.21875,6019,Fresno,Southern Central Valley
-120.15625,36.21875,6019,Fresno,Southern Central Valley
-120.09375,36.21875,6019,Fresno,Southern Central Valley
-120.03125,36.21875,6019,Fresno,Southern Central Valley
-119.96875,36.21875,6019,Fresno,Southern Central Valley
-120.65625,36.28125,6019,Fresno,Southern Central Valley
-120.59375,36.28125,6019,Fresno,Southern Central Valley
-120.53125,36.28125,6019,Fresno,Southern Central Valley
-120.46875,36.28125,6019,Fresno,Southern Central Valley
-120.40625,36.28125,6019,Fresno,Southern Central Valley
-120.34375,36.28125,6019,Fresno,Southern Central Valley
-120.28125,36.28125,6019,Fresno,Southern Central Valley
-120.21875,36.28125,6019,Fresno,Southern Central Valley
-120.15625,36.28125,6019,Fresno,Southern Central Valley
-120.09375,36.28125,6019,Fresno,Southern Central Valley
-120.03125,36.28125,6019,Fresno,Southern Central Valley
-119.96875,36.28125,6019,Fresno,Southern Central Valley
-120.59375,36.34375,6019,Fresno,Southern Central Valley
-120.53125,36.34375,6019,Fresno,Southern Central Valley
-120.46875,36.34375,6019,Fresno,Southern Central Valley
-120.40625,36.34375,6019,Fresno,Southern Central Valley
-120.34375,36.34375,6019,Fresno,Southern Central Valley
-120.28125,36.34375,6019,Fresno,Southern Central Valley
-120.21875,36.34375,6019,Fresno,Southern Central Valley
-120.15625,36.34375,6019,Fresno,Southern Central Valley
-120.09375,36.34375,6019,Fresno,Southern Central Valley
-120.03125,36.34375,6019,Fresno,Southern Central Valley
-119.96875,36.34375,6019,Fresno,Southern Central Valley
-120.59375,36.40625,6019,Fresno,Southern Central Valley
-120.53125,36.40625,6019,Fresno,Southern Central Valley
-120.46875,36.40625,6019,Fresno,Southern Central Valley
-120.40625,36.40625,6019,Fresno,Southern Central Valley
-120.34375,36.40625,6019,Fresno,Southern Central Valley
-120.28125,36.40625,6019,Fresno,Southern Central Valley
-120.21875,36.40625,6019,Fresno,Southern Central Valley
-120.15625,36.40625,6019,Fresno,Southern Central Valley
-120.09375,36.40625,6019,Fresno,Southern Central Valley
-120.03125,36.40625,6019,Fresno,Southern Central Valley
-119.96875,36.40625,6019,Fresno,Southern Central Valley
-119.90625,36.40625,6019,Fresno,Southern Central Valley
-119.84375,36.40625,6019,Fresno,Southern Central Valley
-119.78125,36.40625,6019,Fresno,Southern Central Valley
-120.59375,36.46875,6019,Fresno,Southern Central Valley
-120.53125,36.46875,6019,Fresno,Southern Central Valley
-120.46875,36.46875,6019,Fresno,Southern Central Valley
-120.40625,36.46875,6019,Fresno,Southern Central Valley
-120.34375,36.46875,6019,Fresno,Southern Central Valley
-120.28125,36.46875,6019,Fresno,Southern Central Valley
-120.21875,36.46875,6019,Fresno,Southern Central Valley
-120.15625,36.46875,6019,Fresno,Southern Central Valley
-120.09375,36.46875,6019,Fresno,Southern Central Valley
-120.03125,36.46875,6019,Fresno,Southern Central Valley
-119.96875,36.46875,6019,Fresno,Southern Central Valley
-119.90625,36.46875,6019,Fresno,Southern Central Valley
-119.84375,36.46875,6019,Fresno,Southern Central Valley
-119.78125,36.46875,6019,Fresno,Southern Central Valley
-119.71875,36.46875,6019,Fresno,Southern Central Valley
-119.65625,36.46875,6019,Fresno,Southern Central Valley
-120.65625,36.53125,6019,Fresno,Southern Central Valley
-120.59375,36.53125,6019,Fresno,Southern Central Valley
-120.53125,36.53125,6019,Fresno,Southern Central Valley
-120.46875,36.53125,6019,Fresno,Southern Central Valley
-120.40625,36.53125,6019,Fresno,Southern Central Valley
-120.34375,36.53125,6019,Fresno,Southern Central Valley
-120.28125,36.53125,6019,Fresno,Southern Central Valley
-120.21875,36.53125,6019,Fresno,Southern Central Valley
-120.15625,36.53125,6019,Fresno,Southern Central Valley
-120.09375,36.53125,6019,Fresno,Southern Central Valley
-120.03125,36.53125,6019,Fresno,Southern Central Valley
-119.96875,36.53125,6019,Fresno,Southern Central Valley
-119.90625,36.53125,6019,Fresno,Southern Central Valley
-119.84375,36.53125,6019,Fresno,Southern Central Valley
-119.78125,36.53125,6019,Fresno,Southern Central Valley
-119.71875,36.53125,6019,Fresno,Southern Central Valley
-119.65625,36.53125,6019,Fresno,Southern Central Valley
-119.59375,36.53125,6019,Fresno,Southern Central Valley
-119.53125,36.53125,6019,Fresno,Southern Central Valley
-120.71875,36.59375,6019,Fresno,Southern Central Valley
-120.65625,36.59375,6019,Fresno,Southern Central Valley
-120.59375,36.59375,6019,Fresno,Southern Central Valley
-120.53125,36.59375,6019,Fresno,Southern Central Valley
-120.46875,36.59375,6019,Fresno,Southern Central Valley
-120.40625,36.59375,6019,Fresno,Southern Central Valley
-120.34375,36.59375,6019,Fresno,Southern Central Valley
-120.28125,36.59375,6019,Fresno,Southern Central Valley
-120.21875,36.59375,6019,Fresno,Southern Central Valley
-120.15625,36.59375,6019,Fresno,Southern Central Valley
-120.09375,36.59375,6019,Fresno,Southern Central Valley
-120.03125,36.59375,6019,Fresno,Southern Central Valley
-119.96875,36.59375,6019,Fresno,Southern Central Valley
-119.90625,36.59375,6019,Fresno,Southern Central Valley
-119.84375,36.59375,6019,Fresno,Southern Central Valley
-119.78125,36.59375,6019,Fresno,Southern Central Valley
-119.71875,36.59375,6019,Fresno,Southern Central Valley
-119.65625,36.59375,6019,Fresno,Southern Central Valley
-119.59375,36.59375,6019,Fresno,Southern Central Valley
-119.53125,36.59375,6019,Fresno,Southern Central Valley
-119.46875,36.59375,6019,Fresno,Southern Central Valley
-119.40625,36.59375,6019,Fresno,Southern Central Valley
-119.34375,36.59375,6019,Fresno,Southern Central Valley
-120.78125,36.65625,6019,Fresno,Southern Central Valley
-120.71875,36.65625,6019,Fresno,Southern Central Valley
-120.65625,36.65625,6019,Fresno,Southern Central Valley
-120.59375,36.65625,6019,Fresno,Southern Central Valley
-120.53125,36.65625,6019,Fresno,Southern Central Valley
-120.46875,36.65625,6019,Fresno,Southern Central Valley
-120.40625,36.65625,6019,Fresno,Southern Central Valley
-120.34375,36.65625,6019,Fresno,Southern Central Valley
-120.28125,36.65625,6019,Fresno,Southern Central Valley
-120.21875,36.65625,6019,Fresno,Southern Central Valley
-120.15625,36.65625,6019,Fresno,Southern Central Valley
-120.09375,36.65625,6019,Fresno,Southern Central Valley
-120.03125,36.65625,6019,Fresno,Southern Central Valley
-119.96875,36.65625,6019,Fresno,Southern Central Valley
-119.90625,36.65625,6019,Fresno,Southern Central Valley
-119.84375,36.65625,6019,Fresno,Southern Central Valley
-119.78125,36.65625,6019,Fresno,Southern Central Valley
-119.71875,36.65625,6019,Fresno,Southern Central Valley
-119.65625,36.65625,6019,Fresno,Southern Central Valley
-119.59375,36.65625,6019,Fresno,Southern Central Valley
-119.53125,36.65625,6019,Fresno,Southern Central Valley
-119.46875,36.65625,6019,Fresno,Southern Central Valley
